hash,params,onchip_used_bytes,offchip_streamed_bytes,total_ops,mapped,latency_ms_median,latency_ms_min,latency_ms_p95,latency_ms_mean,n_timed,status
a73457200f0d7383a3bcdd22415c0fca,32633738,8021606,24725422,104,TRUE,56.2027,56.0204,56.3742,56.2199,100,timed
c59a0ed79aeed758107f1cb22dd90432,10188682,7864320,2380267,41,TRUE,6.2208,6.1388,6.3858,6.2385,100,timed
accc89fbbf20834663bf78d836746304,2776458,2820669,0,50,TRUE,0.9141,0.8773,1.0243,0.9317,100,timed
20eb3079cc47b71a42078650fef10acb,6686346,6752829,0,104,TRUE,1.7624,1.7212,1.9032,1.7885,100,timed
a4c71eaa7d0778c6a3ac2205e8ebe6f1,5775242,5872025,0,104,TRUE,2.0013,1.9217,2.1757,2.0224,100,timed
fd19255f3c4904f64809069de5230d6b,21575050,7969177,13683916,86,TRUE,31.7156,31.5811,31.8745,31.7321,100,timed
5d7ea49c05cb125979613e066e3dbe9c,3216010,3261071,0,86,TRUE,1.2920,1.2453,1.4611,1.3257,100,timed
50828655ed13926493ba6a7b7f2b881b,2997130,3072327,0,113,TRUE,1.2013,1.1618,1.3386,1.2242,100,timed
2287179716f9f737509e545a72935d73,14196618,7969177,6322913,95,TRUE,14.9031,14.7840,14.9718,14.9021,100,timed
168e95938db8e7c52112e58c0f292079,1415050,1468006,0,50,TRUE,0.4827,0.4577,0.5082,0.4857,100,timed
5560a0022cd242a55df856129ca05f31,6686346,6752829,0,104,TRUE,1.7209,1.6861,1.9124,1.7413,100,timed
7e6f9d42149ac45cfff02a478c7ae86f,23333258,8032092,15403581,104,TRUE,35.2978,35.1341,35.3503,35.2860,100,timed
faaf733e64d40eb34c34eed272e40d9b,1166346,1268776,0,77,TRUE,0.7104,0.6791,0.8545,0.7332,100,timed
d8ebc601b5da07b82b1e0f29dbf4ffd5,3039882,3082813,0,50,TRUE,0.8523,0.8097,0.9223,0.8746,100,timed
e5cad1ddc356cbc04f10d332c725920a,10199434,8032092,2233466,95,TRUE,5.9349,5.8796,6.0024,5.9434,100,timed
675777ecb1daff61b6917d833406cb82,4358538,4424990,0,68,TRUE,1.0664,1.0357,1.2220,1.0826,100,timed
2b1027320feb50ac8ec9666faecc71d5,4301142,6186598,0,95,TRUE,1.5581,1.5272,1.6941,1.5802,100,timed
05932f264e5efffbbc8ec56d786d930f,20532106,7853834,12750684,77,TRUE,29.3866,29.2287,29.4797,29.3900,100,timed
5f14db94a47a90dd37d9f6793bdf2dc3,38969226,7895777,31163678,95,TRUE,70.6556,70.2494,70.8246,70.6664,100,timed
